# Vitis BLAS gemv golden -- alpha/beta overload, yr = alpha*(M x) + beta*y
# IEEE-754 bit patterns
# columns: ab_index logParEntries case row yr_bits
# n_cases M N n_ab
4 7 128 6
2 3 2 1 1295307289
2 3 2 2 3464202645
2 3 2 3 3464712142
2 3 2 4 3461795114
2 3 2 5 1320852325
2 3 2 6 1308419504
2 3 3 0 1266133580
2 3 3 1 3429748358
2 3 3 2 3429351068
2 3 3 3 1278254847
2 3 3 4 3414211094
2 3 3 5 1265708750
2 3 3 6 1269974626
3 3 0 0 1079776229
3 3 0 1 1081022368
3 3 0 2 1081245573
3 3 0 3 1081162640
3 3 0 4 1079995856
3 3 0 5 1080035929
3 3 0 6 1080723352
3 3 1 0 1210490706
3 3 1 1 1210046651
3 3 1 2 3371143971
3 3 1 3 3364312805
3 3 1 4 1219434883
3 3 1 5 1221954514
3 3 1 6 1201786070
3 3 2 0 1316805279
3 3 2 1 3423643673
3 3 2 2 1296644830
3 3 2 3 1297226059
3 3 2 4 1294718805
3 3 2 5 3449112862
3 3 2 6 3435811162
3 3 3 0 1226735992
3 3 3 1 3390583362
3 3 3 2 3390329096
3 3 3 3 1239552818
3 3 3 4 3374630203
3 3 3 5 1226464101
3 3 3 6 1231302946
4 3 0 0 1250522992
4 3 0 1 1263493838
4 3 0 2 1280651423
4 3 0 3 1282696390
4 3 0 4 1267827208
4 3 0 5 1275190126
4 3 0 6 1286280641
4 3 1 0 3457862274
4 3 1 1 3545538512
4 3 1 2 3405254094
4 3 1 3 1354323498
4 3 1 4 1268679770
4 3 1 5 1183276094
4 3 1 6 3574651404
4 3 2 0 1553792527
4 3 2 1 3660816665
4 3 2 2 1534714183
4 3 2 3 1535275597
4 3 2 4 1532322515
4 3 2 5 3686359198
4 3 2 6 3673897751
4 3 3 0 3183769535
4 3 3 1 3198965623
4 3 3 2 3187359438
4 3 3 3 1042538419
4 3 3 4 3190454979
4 3 3 5 3182454110
4 3 3 6 1041250498
5 3 0 0 3269324954
5 3 0 1 3270382136
5 3 0 2 3269638678
5 3 0 3 3269366823
5 3 0 4 3269213868
5 3 0 5 3268911209
5 3 0 6 3268332747
5 3 1 0 3400088243
5 3 1 1 3399956647
5 3 1 2 1265848685
5 3 1 3 1258915138
5 3 1 4 3409040869
5 3 1 5 3411599873
5 3 1 6 3397866288
5 3 2 0 1355554942
5 3 2 1 3463024485
5 3 2 2 1336046470
5 3 2 3 1336515690
5 3 2 4 1334491605
5 3 2 5 3488680119
5 3 2 6 3475199063
5 3 3 0 3416324990
5 3 3 1 1285198603
5 3 3 2 1284940364
5 3 3 3 3429211006
5 3 3 4 1269258319
5 3 3 5 3416048850
5 3 3 6 3420963302
0 4 0 0 1107886606
0 4 0 1 1108593982
0 4 0 2 1108400862
0 4 0 3 1108284700
0 4 0 4 1107909308
0 4 0 5 1107816632
0 4 0 6 1107808571
0 4 1 0 1238386627
0 4 1 1 1238050573
0 4 1 2 3398810613
0 4 1 3 3391699015
0 4 1 4 1247469537
0 4 1 5 1250260834
0 4 1 6 1233753094
0 4 2 0 1085600923
0 4 2 1 3250661178
0 4 2 2 1059033504
0 4 2 3 3232639366
0 4 2 4 1086462172
0 4 2 5 1096864982
0 4 2 6 1085606758
0 4 3 0 1254498774
0 4 3 1 3418242770
0 4 3 2 3417924938
0 4 3 3 1267551230
0 4 3 4 3402495624
0 4 3 5 1254158910
0 4 3 6 1259249333
1 4 0 0 1027113254
1 4 0 1 1040919715
1 4 0 2 1057952192
1 4 0 3 1059324546
1 4 0 4 1044597797
1 4 0 5 1051609747
1 4 0 6 1063624793
